HO;RSS;POPDENSLOG;POP65P;POPSEXF;MSDISOC;MSDIMAT;NDVI;HSUMTEMP
811;8;0.821776785197584;16.1694273015814;49.154766719842;39.3532610592021;59.152916119004;0.446444004774094;14.3982523910155
AMB;8;0.825237420583102;17.7178928948192;49.0419069692032;39.3046707733368;58.5144830156981;0.446444004774094;14.4342742623603
EDV;8;0.825237420583102;17.7178928948192;49.0419069692032;39.3046707733368;58.5144830156981;0.446444004774094;14.4342742623603
HOS;9;-1.02384140594798;12.8293320949106;48.9040989661853;35.7551224007382;62.6027215143343;0.413671880960465;12.2388365139071
MOR;9;-1.02384140594798;12.8293320949106;48.9040989661853;35.7551224007382;62.6027215143343;0.413671880960465;12.2388365139071
811;9;-1.05306604071701;15.867009674432;48.9990376813372;34.3758951031885;61.1411408044662;0.413671880960465;12.2937813333411
AMB;9;-1.06904951501173;17.7074895242974;49.0499677096337;33.6110292656065;62.7809685461334;0.413671880960465;12.3133181328765
EDV;9;-1.06904951501173;17.7074895242974;49.0499677096337;33.6110292656065;62.7809685461334;0.413671880960465;12.3133181328765
HOS;11;1.54663954704676;19.0971158253559;50.4181746776172;31.9108589443739;81.3584385026512;0.595828175544739;13.6835574908986
MOR;11;1.54663954704676;19.0971158253559;50.4181746776172;31.9108589443739;81.3584385026512;0.595828175544739;13.6835574908986
811;11;1.51156534402259;22.6903925917218;50.5225274295694;32.5406572038019;78.0265281564802;0.595828175544739;13.771363844599
AMB;11;1.49424276743092;25.2036305288758;50.4477828295866;33.0681550776244;77.7944625213901;0.595828175544739;13.8024516099071
EDV;11;1.49424276743092;25.2036305288758;50.4477828295866;33.0681550776244;77.7944625213901;0.595828175544739;13.8024516099071
HOS;12;3.27690051006283;15.6018214057415;49.7059914263931;37.0080827260535;51.6559672335719;0.547037422657013;15.7500047265744
MOR;12;3.27690051006283;15.6018214057415;49.7059914263931;37.0080827260535;51.6559672335719;0.547037422657013;15.7500047265744
811;12;3.30854307853447;18.2400620020843;49.5505482688538;36.8766759793586;48.6250576276078;0.547037422657013;15.9336528048284
AMB;12;3.32280143447382;20.1633671220653;49.4180206291834;37.1292465594924;46.7063469074232;0.547037422657013;16.0029148653718
EDV;12;3.32280143447382;20.1633671220653;49.4180206291834;37.1292465594924;46.7063469074232;0.547037422657013;16.0029148653718
HOS;13;7.34660748974399;14.5020903814882;50.8574191842659;42.1190084140476;42.4663613210696;0.418009608983994;18.086256457702
MOR;13;7.34660748974399;14.5020903814882;50.8574191842659;42.1190084140476;42.4663613210696;0.418009608983994;18.086256457702
811;13;7.42616399066225;16.0745778580919;50.849995136725;40.5900654175048;45.6385613331991;0.418009608983994;18.3299878666699
AMB;13;7.45876006512066;16.9296147248561;50.811161973156;40.0789663236476;47.3245759992345;0.418009608983994;18.4138095384963
EDV;13;7.45876006512066;16.9296147248561;50.811161973156;40.0789663236476;47.3245759992345;0.418009608983994;18.4138095384963
HOS;14;3.49978182060617;13.0855144997814;49.8280943111137;42.4160911763294;55.0145004764506;0.510211288928986;17.3315166478373
MOR;14;3.49978182060617;13.0855144997814;49.8280943111137;42.4160911763294;55.0145004764506;0.510211288928986;17.3315166478373
811;14;3.59132198723629;15.4534380673273;49.8558895019789;42.3031842185954;54.6573784596945;0.510211288928986;17.5605586975798
AMB;14;3.62194293330924;17.1135209506484;49.8573684765467;42.1362256129547;54.7843121864335;0.510211288928986;17.6406146891513
EDV;14;3.62194293330924;17.1135209506484;49.8573684765467;42.1362256129547;54.7843121864335;0.510211288928986;17.6406146891513
HOS;15;3.15737525054614;13.384900484678;49.9752423185644;48.1412345528778;48.6353658716785;0.525785088539124;17.0004255260622
MOR;15;3.15737525054614;13.384900484678;49.9752423185644;48.1412345528778;48.6353658716785;0.525785088539124;17.0004255260622
811;15;3.2519035705883;15.765289907839;49.9353286278624;48.2362180546258;48.1909314409676;0.525785088539124;17.2633355395674
AMB;15;3.28645075411762;17.4357541811949;49.9079408306316;48.0884185938268;48.0694600881676;0.525785088539124;17.3459401082809
EDV;15;3.28645075411762;17.4357541811949;49.9079408306316;48.0884185938268;48.0694600881676;0.525785088539124;17.3459401082809
HOS;16;4.98483923295563;13.6702006614297;50.3985033985261;44.9283531453763;42.8023548757359;0.491929352283478;17.9588741883818
MOR;16;4.98483923295563;13.6702006614297;50.3985033985261;44.9283531453763;42.8023548757359;0.491929352283478;17.9588741883818
811;16;5.04463599334515;16.004359715765;50.3316793249642;44.1845190988362;42.3389284014929;0.491929352283478;18.1943931488647
AMB;16;5.07158990441439;17.5297876494555;50.2551512637014;43.8885162445816;42.3258496199643;0.491929352283478;18.2761234124525
EDV;16;5.07158990441439;17.5297876494555;50.2551512637014;43.8885162445816;42.3258496199643;0.491929352283478;18.2761234124525
